evidence_id,target_id,candidate_id,evidence_type,evidence_value,evidence_source,supports_requirement,verification_status,verified_by,notes,audit_status
P3F015-E011,CMI-006,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,donor_id_field,"Official CELLxGENE API exposes a donor_id field/list and the HCA project reports 261 donors","https://api.cellxgene.cziscience.com/curation/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2; https://explore.data.humancellatlas.org/projects/9fc0064b-84ce-40a5-a768-e6eb3d364ee0","donor ID field availability",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Field existence is verified; completeness, repeated samples, and donor-to-label mapping remain unresolved",metadata_evidence_reviewed
P3F015-E012,CMI-006,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,disease_terms,"Official CELLxGENE API exposes aggregate disease terms normal (PATO:0000461) and systemic lupus erythematosus (MONDO:0007915)","https://api.cellxgene.cziscience.com/curation/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2","diagnosis and comparator vocabulary",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","The collection response does not expose donor-to-disease linkage",metadata_evidence_reviewed
P3F015-E013,CMI-008,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,sample_id_field,"No explicit sample_id field or donor-to-sample mapping is exposed in the inspected collection API and HCA overview","https://api.cellxgene.cziscience.com/curation/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2; https://explore.data.humancellatlas.org/projects/9fc0064b-84ce-40a5-a768-e6eb3d364ee0","sample ID availability",unclear,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Absence from aggregate metadata does not prove absence from the H5AD; full object inspection is forbidden",metadata_evidence_reviewed
P3F015-E014,CMI-008,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,donor_label_linkage,"Aggregate donor_id and disease vocabularies are exposed separately; no explicit donor-to-disease mapping is exposed in inspected metadata","https://api.cellxgene.cziscience.com/curation/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2","patient-level label provenance",blocked,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Do not construct labels from donor naming patterns such as HC or FLARE",metadata_evidence_reviewed
P3F015-E015,CMI-005,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,processed_asset_manifest,"CELLxGENE API reports 1,263,676 cells, raw_data_location raw.X, and one H5AD asset of 12,218,105,530 bytes","https://api.cellxgene.cziscience.com/curation/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2","processed object and raw-count feasibility",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Asset was not downloaded; matrix contents and metadata completeness were not inspected",metadata_evidence_reviewed
P3F015-E016,CMI-007,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,hca_project_metadata,"HCA reports Homo sapiens blood/PBMC, 10x 3' v2, 261 donors, 800 FASTQ files, and SLE disease status at specimen and donor levels","https://explore.data.humancellatlas.org/projects/9fc0064b-84ce-40a5-a768-e6eb3d364ee0","assay/tissue/donor count and file-manifest feasibility",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","HCA overview does not expose individual donor/sample label linkage",metadata_evidence_reviewed
P3F015-E017,CMI-009,GSE137029::CELLxGENE_HCA,source_cross_reference,"CELLxGENE collection metadata links GSE137029 as RAW_DATA; HCA project lists GSE137029 and GSE174188 and links the same CELLxGENE collection","https://api.cellxgene.cziscience.com/curation/v1/collections/436154da-bcf1-4130-9c8b-120ff9a888f2; https://explore.data.humancellatlas.org/projects/9fc0064b-84ce-40a5-a768-e6eb3d364ee0","cohort overlap risk and independence",verified,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Source-level linkage is explicit; exact donor/sample/cell overlap remains unresolved, so external validation is blocked",metadata_evidence_reviewed
P3F015-E018,CMI-009,GSE137029::CELLxGENE_HCA,exact_overlap_mapping,"No explicit cross-repository donor/sample/cell correspondence table was exposed in inspected public metadata","CELLxGENE collection API; HCA project overview; GEO Series metadata","exact cohort overlap resolution",blocked,"P3-F015 Planner + Scientific Judge + Bioinformatics Judge","Linked provenance is enough to reject an independence assumption but not enough to quantify overlap",metadata_evidence_reviewed
P3F018-E019,CMI-001,GSE137029,miniml_field_inventory,"GEO MINiML exposes four characteristics for all 66 Samples: cell type, condition, sample type, and chip antibody; no patient, donor, subject, or individual identifier field is present","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137029/miniml/GSE137029_family.xml.tgz","GSE137029 patient/donor mapping availability",blocked,"P3-F018 Planner + Scientific Judge + Bioinformatics Judge","Metadata archive only; absence of a person field prevents patient-level grouping without inference",metadata_evidence_expanded
P3F018-E020,CMI-001,GSE137029,complete_sample_condition_counts,"All 66 GEO Samples have a condition value: 42 SLE, 12 SLE flare, and 12 healthy","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137029/miniml/GSE137029_family.xml.tgz","GSE137029 sample-level label completeness",verified,"P3-F018 Planner + Scientific Judge + Bioinformatics Judge","These are pooled GEO Sample labels, not patient-level labels for 192 reported individuals",metadata_evidence_expanded
P3F018-E021,CMI-008,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,metadata_field_manifest,"Linked UCSC Cell Browser metadata manifest exposes library_uuid (88 values), sample_uuid (274), donor_id (261), disease (2), and disease ontology fields for 1,263,676 cells","https://cells.ucsc.edu/lupus-pbmc/dataset.json","CELLxGENE/HCA sample and donor metadata availability",verified,"P3-F018 Planner + Scientific Judge + Bioinformatics Judge","Only the manifest and selected compressed metadata vectors were inspected; no expression matrix or full metadata table was downloaded",metadata_evidence_expanded
P3F018-E022,CMI-008,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,donor_sample_disease_consistency,"Across selected metadata vectors: 261 donors and 274 samples; no donor maps to multiple disease values; no sample maps to multiple donors or disease values; 162 donors map to SLE and 99 to normal","https://cells.ucsc.edu/lupus-pbmc/metaFields/donor_id.bin.gz; https://cells.ucsc.edu/lupus-pbmc/metaFields/sample_uuid.bin.gz; https://cells.ucsc.edu/lupus-pbmc/metaFields/disease.bin.gz","CELLxGENE/HCA donor-to-label and sample-to-donor linkage",verified,"P3-F018 Planner + Scientific Judge + Bioinformatics Judge","Metadata-only vectors were cross-tabulated; donor naming patterns were not used to assign labels",metadata_evidence_expanded
P3F018-E023,CMI-008,CELLxGENE_HCA_436154da-bcf1-4130-9c8b-120ff9a888f2_218acb0f-9f2f-4f76-b90b-15a4b7c7f629,repeated_sample_structure,"250 donors map to one sample, 9 donors map to two samples, and 2 donors map to three samples; maximum is three samples per donor","https://cells.ucsc.edu/lupus-pbmc/metaFields/donor_id.bin.gz; https://cells.ucsc.edu/lupus-pbmc/metaFields/sample_uuid.bin.gz","CELLxGENE/HCA repeated-sample grouping",verified,"P3-F018 Planner + Scientific Judge + Bioinformatics Judge","Timepoint and longitudinal meaning are not established by these mappings",metadata_evidence_expanded
P3F018-E024,CMI-009,GSE137029::CELLxGENE_HCA,portal_dataset_provenance,"The linked UCSC Cell Browser description identifies GSE174188 as its GEO Series and the same HCA project; it does not provide a record-level mapping to GSE137029","https://cells.ucsc.edu/lupus-pbmc/desc.json","exact GSE137029 versus CELLxGENE/HCA overlap",blocked,"P3-F018 Planner + Scientific Judge + Bioinformatics Judge","CELLxGENE/HCA cannot be used as external validation for GSE137029 without explicit donor-level non-overlap evidence",metadata_evidence_expanded
P3F018-E025,CMI-004,GSE137029,linked_code_manifest,"The linked Zenodo record contains analysis-code files and no dedicated patient/donor metadata mapping file in its public manifest","https://zenodo.org/api/records/4724043","additional public metadata mapping availability",blocked,"P3-F018 Planner + Scientific Judge + Bioinformatics Judge","Code files were not downloaded; further metadata-only inspection is unlikely to resolve GSE137029 patient mapping",metadata_evidence_expanded
